Page Name,URL,Scraped Content
Calendar,https://www.pittsburghsymphony.org/calendar,"You have exceeded the time limit and your seats have been released.
Copyright 2024. All rights reserved."
About,https://www.pittsburghsymphony.org/pso_home/web/about-landing,"You have exceeded the time limit and your seats have been released.
Meet the musicians of your Pittsburgh Symphony Orchestra.
Learn More →
Manfred Honeck is one of the world's leading conductors and the Music Director of the Pittsburgh Symphony Orchestra.
Read More →
Browse our current auditions or staff employment openings.
Apply Today →
Randi & L. Van V. Dauler, Jr. President & CEO Chair
Melia P. Tourangeau was appointed president and chief executive officer in May 2015 and began her tenure in July 2015.
Learn More →


The Pittsburgh Symphony Orchestra and Heinz Hall have a rich history.
View the Full History →
View the At a Glance History of the PSO →

Meet the staff members of the Pittsburgh Symphony.
Learn More →
The Archives portal contains the rich history of the PSO and Heinz Hall.
Discover →
Meet the conductors of your Pittsburgh Symphony Orchestra.
Learn More →
Our Vision: Great Music In Every Life.
Read More →
Meet our volunteer Board of Directors.
Learn More →
Heinz Hall is available for rental, receptions and private events.
View Rental Information →
Volunteer organizations are committed to supporting the Pittsburgh Symphony.
Get Involved →
Heinz Hall hosts an eclectic mix of pre-concert performances
Learn More →
Copyright 2024. All rights reserved."
Musicians,https://www.pittsburghsymphony.org/pso_home/web/musicians,"You have exceeded the time limit and your seats have been released.
David McCarroll|Concertmaster | Rachel Mellon Walton ChairJustine Campagna| Associate Concertmaster | Beverlynn & Steven Elliott ChairDylan Naroff| Assistant ConcertmasterKelsey BlumenthalEllen Chen-Livingston| Selma Wiener Berkman Memorial ChairIrene Cheng| Dr. & Mrs. William E. Rinehart ChairSarah Clendenning| Lois R. Brozenick Memorial ChairAlison Peters FujitoMarta Krechkovsky| Snapp Family First Violin ChairJennifer OrchardSusanne Park| Dr. Alan & Marsha Bramowitz ChairKristina YoderKate Black| 24-25 Season MusicianShannon Fitzhenry| 24-25 Season Musician

Jeremy Black| Principal | G. Christian Lantzsch & Duquesne Light Company ChairLouis Lev| Associate Principal |The Morrison Family ChairDennis O'Boyle| Assistant PrincipalLaura Motchalov| William & Sarah Galbraith ChairAndrew FullerLorien Benet Hart| Arlyn Gilboa ChairYeokyung KimBoxianzi Vivian LingClaudia Mahave| Alice Victoria Gelormino ChairCecee PantikianRegi PapaCarolyn SemesYingchen Zhang
Tatjana Mead Chamis| Acting Principal | Jon & Carol Walton Associate Principal Viola ChairJoen Vasquez| Acting Associate PrincipalMarylène Gingras-Roy* | Acting Assistant PrincipalLaura FullerSean JuhlErina Laraby-GoldwasserAaron MossburgStephanie TretickAndrew Wickesberg| Mr. and Mrs. Martin G. McGuinn ChairChloéThominet| 24-25 Season MusicianRimbo Wong| 24-25 Season MusicianSi Yu| 24-25 Season Musician

Anne Martindale Williams| Principal | Pittsburgh Symphony Association ChairDale Jeong| Associate Principal | Donald I. & Janet Moritz and Equitable Resources, Inc. ChairAdam Liu| Assistant Principal | George & Eileen Dorman ChairMikhail Istomin| Susan Candace Hunt ChairBronwyn BanerdtMichael DeBruyn| Jane & Rae Burton ChairAlexandra Lee| William Block Memorial ChairYun-Ya LoCharlie Powers| HaleyFesq Cello ChairKarissa Shivone
Nicholas Myers|PrincipalBrandon McLean| Associate PrincipalJoseph CampagnaJeffrey GrubbsPeter GuildMicah Howard| Stephen & Kimberly Keen ChairJohn MooreAaron WhiteDrew Collins| Paul J. Ross Fellow
Gretchen Van Hoesen| Principal | Virginia Campbell Chair
Lorna McGhee* | Principal | Jackman Pfouts Flute ChairJennifer Steele| Hilda M. Willis Foundation ChairYevgeny Faniuk| 24-25 Season Musician
Rhian Kenny| Principal | Frank & Loti Gaffney Chair
Cynthia Koledo DeAlmeida| Principal | Dr. William Larimer Mellon, Jr. ChairMax Blair| Associate PrincipalSamuel Nemec
Ian Woodworth| 24-25 Season Musician
Michael Rusinek| Principal | Mr. & Mrs. Aaron Silberman ChairVictoria Luperi| Associate PrincipalRon Samuels| Sidney Stark, Jr. Memorial Chair
Victoria Luperi| Principal
Jack Howell| Principal | Mr. and Mrs. Willard J. Tillotson, Jr. Chair
David Sogg| Acting PrincipalPhilip A. PandolfiCarlos Clark| Paul J. Ross Fellow
James Rodgers| Principal
William Caballero| Principal | Anonymous Donor ChairStephen Kostyniak| Associate Principal | The Hotopp Family ChairZachary Smith| Assistant PrincipalMichelle HembreeMark HoughtonRobert LauverLandon Young| Paul J. Ross Fellow
Micah Wilkinson| Principal | Martha Brooks Robinson Principal Trumpet ChairConrad Jones| Associate PrincipalNeal BerntsenChad Winkler| Susan S. Greer Memorial ChairJoshua Carr| Paul J. Ross Fellow
Peter Sullivan| Principal | Tom & Jamee Todd ChairDouglas F. Rosenthal| Associate PrincipalJames Nova| Ann McGuinn Trombone Chair
Jeffrey Dee| Principal | William & Jacqueline Herbein Principal Bass Trombone Chair
Craig Knox| Principal | Dr. Mary Ann Craig Chair
James Benoit|Principal | Barbara Weldon ChairChristopher Allen| Associate Principal
Jeremy Branson| Associate PrincipalChristopher AllenShawn Galvin| 24-25 Season Musician
Rodrigo Ojeda| Mr. & Mrs. Benjamin F. Jones III Guest Keyboard Chair
Lisa Gedris| Principal | Jean & Sigo Falk ChairSheryl Hadeka| Assistant Librarian | Anonymous Fund of The Pittsburgh Foundation Chair
* On Leave
Copyright 2024. All rights reserved."
Music Director,https://www.pittsburghsymphony.org/pso_home/biographies/pso-conductors/honeck-manfred,"You have exceeded the time limit and your seats have been released.
Manfred Honeck has firmly established himself as one of the world’s
          leading conductors, whose distinctive and revelatory interpretations
          receive great international acclaim. As Music Director of the
          Pittsburgh Symphony Orchestra, where his contract runs through the
          2027-2028 season, he has entered his 17th season. Celebrated at home
          and abroad, he and the orchestra continue to serve as cultural
          ambassadors for the city of Pittsburgh. Guest appearances include
          Carnegie Hall and Lincoln Center in New York, as well as the major
          venues of Europe and leading festivals such as the BBC Proms, Salzburg
          Festival, Musikfest Berlin, Lucerne Festival, Rheingau Music Festival,
          Beethovenfest Bonn, and Grafenegg Festival. In summer 2024, he leads
          the Pittsburgh Symphony in a nine-city European Festivals Tour,
          starting with their appearance as the only American orchestra at the
          prestigious Salzburg Festival and concluding at Vienna Konzerthaus.
Manfred Honeck's successful work in Pittsburgh is being extensively
          documented by recordings on the Reference Recordings label, featuring
          works by Beethoven, Brahms, Bruckner, Shostakovich, Strauss,
          Tchaikovsky, and others. They have received a multitude of outstanding
          reviews and awards, including many GRAMMY® nominations, and he and the
          orchestra won the GRAMMY® for ""Best Orchestral Performance"" in 2018.
          The most recent recording, Bruckner's Symphony No. 7, paired with
          Resurrexit by Mason Bates, was released in July 2024 to great critical
          acclaim.
Born in Austria, Manfred Honeck completed his musical training at the
          University of Music in Vienna. His many years of experience as a
          member of the viola section in the Vienna Philharmonic and Vienna
          State Opera Orchestra have had a lasting influence on his work as a
          conductor, and his art of interpretation is based on his determination
          to venture deep beneath the surface of the music. He began his
          conducting career as assistant to Claudio Abbado and as director of
          the Vienna Jeunesse Orchestra. Subsequently, he was engaged by the
          Zurich Opera House, where he was awarded the European Conducting Prize
          in 1993. He has since served as one of three principal conductors of
          the MDR Symphony Orchestra Leipzig, as Music Director of the Norwegian
          National Opera, Principal Guest Conductor of the Oslo Philharmonic
          Orchestra and Czech Philharmonic Orchestra, and Chief Conductor of the
          Swedish Radio Symphony Orchestra in Stockholm. In November 2023, he
          was appointed Honorary Conductor by the Bamberg Symphony Orchestra,
          following decades of close collaboration.
Manfred Honeck also has a strong profile as opera conductor. In his
          four seasons as General Music Director of the Staatsoper Stuttgart, he
          conducted premieres of operas by Berlioz, Mozart, Poulenc, Strauss,
          Verdi, and Wagner. He has also appeared as guest at leading houses
          such as Semperoper Dresden, Komische Oper Berlin, Théâtre de la
          Monnaie in Brussels, Royal Opera of Copenhagen, and the Salzburg
          Festival. In 2020, Beethoven’s anniversary year, he conducted a new
          staging of Fidelio (1806 version) at the Theater an der Wien. In
          autumn 2022, he made his much-acclaimed debut at the Metropolitan Opera in New York, 
          leading a revival of Mozart’sIdomeneo. Beyond the
          podium, Manfred Honeck has designed a series of symphonic suites,
          including Janáček’sJenůfa, Strauss’sElektra, Dvořák’sRusalkaas
          well as Puccini'sTurandotwhich he regularly performs around the
          globe. The most recent arrangement, of Strauss’sSalome, was premiered
          by the Pittsburgh Symphony Orchestra in 2023.
As a guest conductor, Manfred Honeck has worked with all leading
          international orchestras, including Bavarian Radio Symphony Orchestra,
          Berlin Philharmonic Orchestra, Gewandhausorchester Leipzig,
          Staatskapelle Dresden, Tonhalle-Orchester Zürich, Royal Concertgebouw
          Orchestra, London Symphony Orchestra, Orchestre de Paris, Accademia di
          Santa Cecilia Rome and the Vienna Philharmonic. In the United States,
          he has conducted all major US orchestras, including New York
          Philharmonic, The Cleveland Orchestra, Chicago Symphony Orchestra, Los
          Angeles Philharmonic, Philadelphia Orchestra, Boston Symphony
          Orchestra and San Francisco Symphony. He has also been Artistic
          Director of the International Concerts Wolfegg in Germany for thirty
          years.
In 2024-2025, Manfred Honeck will conduct fourteen wide-ranging
          programs and several special projects in Pittsburgh, including all
          four of the season's world premieres and commissions. He also will
          return to the New York Philharmonic, Chicago Symphony,
          Concertgebouworkest Amsterdam, Gewandhausorchester Leipzig and
          Bavarian Radio Symphony Orchestra, amongst others. In Bruckner's
          anniversary year of 2024, he will continue to place a special focus on
          the music of this composer.
Manfred Honeck holds honorary doctorates from several universities in
          the United States and was awarded the honorary title of Professor by
          the Austrian Federal President. In 2018, the jury of the International
          Classical Music Awards declared him ""Artist of the Year"".
Please do not shorten or revise without permission of the
            Pittsburgh Symphony Orchestra.
Copyright 2024. All rights reserved."
Careers,https://www.pittsburghsymphony.org/pso_home/web/about-landing/career-opportunities,"You have exceeded the time limit and your seats have been released.
View Open Positions →
View Open Positions →
Learn More →
Copyright 2024. All rights reserved."
President & CEO,https://www.pittsburghsymphony.org/pso_home/web/about-landing/melia-p-tourangeau-president,"You have exceeded the time limit and your seats have been released.
Melia Tourangeau began her tenure with the Pittsburgh Symphony Orchestra when she was appointed President & CEO in May of 2015, the first woman and the youngest CEO in the Symphony’s 124-year history. Tourangeau’s personal and professional commitment to creating deep and meaningful connections between music, musicians and the community is a hallmark of her leadership of the Pittsburgh Symphony, one of America’s most distinguished orchestras.
Soon after her arrival, Tourangeau led the revival of a strategic planning process that has heightened the orchestra’s artistic excellence with innovative concerts, partnerships, premieres, and debuts; moved the organization toward financial stability, including growing the annual fund by 17%; fostered closer cooperation between the board, musicians, staff and volunteers; and deepened the orchestra’s community relationships and reach with new programming and digital technology. She is currently leading a new initiative to promote diversity and inclusion across the organization, with patrons, and with the community. Under Tourangeau’s leadership, the Pittsburgh Symphony has extended the contract of its Music Director, Manfred Honeck, welcomed ten new musicians to the Orchestra and brought new distinguished members of the community to the Board. She successfully led negotiations for a new contract with members of the Orchestra. Tourangeau has represented the orchestra on several highly acclaimed domestic and international tours, enhancing the orchestra’s international reputation. During her tenure, the orchestra’s illustrious recording history has been underscored with numerous GRAMMY Awards and nominations, including the award for Best Orchestral Performance in 2018.
Tourangeau came to the Pittsburgh Symphony from the Utah Symphony | Utah Opera (USUO) in Salt Lake City, Utah, where she served as President & CEO beginning April 2008. Prior to the USUO, Tourangeau worked for the Grand Rapids Symphony in Michigan, beginning as education director in January 1997, being promoted to director of operations in 1999, then vice president and general manager before being named CEO in 2005. Prior to that, she was the education coordinator at the Akron Symphony Orchestra.
She received a Bachelor of Music degree in 1994 from the Oberlin College Conservatory of Music with a major in piano performance and a minor in musicology. In April 2007, she received a master’s degree in public administration with an emphasis on nonprofit leadership from Grand Valley State University.
Tourangeau is a member of and serves on the Board of the Pittsburgh Chapter of Young Presidents Organization (YPO) and the Pittsburgh Forum of International Women’s Forum. She and her husband, Michael, live in the northern suburbs of Pittsburgh with their two children.
Copyright 2024. All rights reserved."
Tickets,https://www.pittsburghsymphony.org/pso_home/web/tickets-landing,"You have exceeded the time limit and your seats have been released.
Subscribers get the lowest price, easy exchanges, access to priority seating, district discounts, and more!
24/25 Subscriptions →
Customize a subscription to suit your tastes, schedule, and budget.
Subscribe Now →
Browse our current concert offerings, from classical and pops to family and specials.
See the Calendar →
Make a musical memory with your group at Heinz Hall! For most Pittsburgh Symphony Orchestra performances, groups of 10 or more may receive discounts from 10% to 25% off regular ticket prices.
Learn More →
PSO Go is a new way to save for our localstudentsandfull time preK - 12 teachers! Get alerts for discounted rush tickets to available BNY Classics, Disrupt, or PNC Pops performances.
Learn More →

Excited to attend concerts but don't want to commit to dates and times just yet? Our passbook vouchers give you access to discounted seats with the ability to schedule concerts at your convenience.
Learn More →

Every seat is a great seat at Heinz Hall.
View Now →
Learn more about Heinz Hall and our ticket exchange policies.
Learn More →
Print At Home is the most convenient way of receiving your tickets.
Learn More →
See why a season subscription is the best option for you.
Learn More →
Gift cards are the perfect present for any occassion.
Buy Now →
Military service members get access to single ticket discounts, music and wellnesssessions, and an annual community concert.
Learn More →
Copyright 2024. All rights reserved."
Subscriptions,https://www.pittsburghsymphony.org/pso_home/web/subscriptions/why-subscribe-24-25,"You have exceeded the time limit and your seats have been released.
And each of us seeks something special from the experience: exhilaration, peace, comfort, escape and so much more.
Explore the Season Brochure →
Order Now →
Order Now →
Order Now →
Order Now →



SUPPORTED BY
Copyright 2024. All rights reserved."
Learning Programs,https://www.pittsburghsymphony.org/pso_home/web/community-landing/learning-programs,"You have exceeded the time limit and your seats have been released.
The Pittsburgh Symphony Orchestra promotes curiosity, skill-building, and knowledge about music through learning programs that address the needs and interests of PreK-12 learners. Grounded in educational best practices, these dynamic programs provoke new ideas and perspectives, nurture excitement, and enhance young people's aptitude for imaginative learning.
Saturday morning concerts designed especially for families with children ages 3-8, including fun, hands-on activities before the music starts!
Learn More →

Interactive performances that introduce elementary students to the orchestra and nurture a love of music. Offered at no cost to all schools.Learn More →

An immersive experience for high school musicians to rehearse and perform side-by-side their PSO counterparts, including a full concert experience on the Heinz Hall stage.Learn More →
Be an integral part of bringing great music into every life.Learn More →

Copyright 2024. All rights reserved."
Seating Charts,https://www.pittsburghsymphony.org/pso_home/web/tickets-landing/seating-charts,"You have exceeded the time limit and your seats have been released.
OrchestraGrand TierGallery



This detailed seating chart contains seating for the entire hall and is the best option for printing.
View Detailed Seating Chart →
Copyright 2024. All rights reserved."
